日期,隊伍,兩分命中率,三分命中率,罰球命中率,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負,二分出手,二分命中,三分出手,三分命中,罰球出手,罰球命中
2019-01-03-14-45,屏東大學,34.9,37.5,47.4,17,27,44,12,8,4,22,11,66,0,15,43,9,24,9,19
2019-01-03-14-45,健行科大,46.5,31.4,71.4,14,30,44,17,11,2,19,22,88,1,20,43,11,35,15,21
2019-01-03-14-45,高雄師大,49,25,65.4,9,23,32,15,13,3,18,18,85,0,25,51,6,24,17,26
2019-01-03-16-30,國立體大,52.6,29.4,53.3,14,29,43,15,8,1,18,18,78,1,20,38,10,34,8,15
2019-01-03-16-30,義守大學,51.3,25,60,8,25,33,9,12,5,21,17,67,0,20,39,6,24,9,15
2019-01-03-16-30,萬能科大,46.5,25.6,66.7,8,32,40,13,13,1,17,23,87,0,20,43,11,43,14,21
2019-01-03-16-30,臺北商大,45.6,20,81.8,12,47,59,13,6,3,20,17,94,1,26,57,5,25,27,33
2019-01-03-18-15,輔仁大學,63,23.8,57.1,5,40,45,27,12,3,25,18,85,1,29,46,5,21,12,21
2019-01-03-18-15,中州科大,35.7,20.6,71.4,10,26,36,11,14,1,19,17,66,0,15,42,7,34,15,21
2019-01-03-18-15,醒吾科大,47.1,13,50,10,31,41,12,14,3,27,22,63,0,24,51,3,23,6,12
2019-01-03-18-15,政治大學,36.8,29.4,72.2,20,34,54,12,21,3,18,16,78,1,25,68,5,17,13,18
2019-01-04-13-00,臺灣藝大,30.8,27.8,60,16,25,41,10,15,4,18,22,53,0,16,52,5,18,6,10
2019-01-04-13-00,文化大學,38.1,20,61.9,14,27,41,10,11,2,20,17,54,1,16,42,3,15,13,21
2019-01-04-13-00,屏東大學,43.2,33.3,75,9,19,28,15,8,5,20,20,68,0,16,37,9,27,9,12
2019-01-04-13-00,臺灣科大,50,28.6,70.4,16,23,39,13,14,4,15,15,81,1,25,50,4,14,19,27
2019-01-04-14-45,中州科大,35.6,36,56.2,11,22,33,14,6,1,17,12,68,0,16,45,9,25,9,16
2019-01-04-14-45,臺灣師大,58.7,30,60,16,29,45,26,11,2,15,16,95,1,37,63,6,20,3,5
2019-01-04-14-45,高雄師大,36.4,9.1,55.6,14,34,48,8,9,4,12,13,51,0,20,55,2,22,5,9
2019-01-04-14-45,國立體大,34.9,19.2,52.4,14,37,51,14,8,4,16,13,56,1,15,43,5,26,11,21
2019-01-04-16-30,臺北商大,42.6,50,71.4,9,32,41,12,8,6,18,15,74,1,20,47,8,16,10,14
2019-01-04-16-30,醒吾科大,34,23.1,65,11,24,35,3,11,0,10,17,65,0,17,50,6,26,13,20
2019-01-04-16-30,義守大學,38,30.3,75,15,20,35,18,6,4,17,11,71,0,19,50,10,33,3,4
2019-01-04-16-30,健行科大,50,44.8,80,24,32,56,20,10,4,13,10,105,1,29,58,13,29,8,10
2019-01-04-18-15,北市大學,33.9,26.9,46.7,5,24,29,11,19,3,18,13,66,0,19,56,7,26,7,15
2019-01-04-18-15,輔仁大學,43.9,39.4,75,16,49,65,23,13,6,31,17,87,1,18,41,13,33,12,16
2019-01-04-18-15,政治大學,47.5,22.6,66.7,11,40,51,15,7,4,20,12,67,1,19,40,7,31,8,12
2019-01-04-18-15,萬能科大,30.2,20.6,14.3,13,27,40,8,10,1,20,13,48,0,13,43,7,34,1,7
2019-01-05-13-00,北市大學,59.5,34.6,84.6,3,29,32,14,7,5,18,19,82,0,22,37,9,26,11,13
2019-01-05-13-00,國立體大,44.9,25,72.2,20,25,45,16,10,2,11,13,87,1,22,49,10,40,13,18
2019-01-05-13-00,臺灣藝大,53.7,29.4,70.6,10,41,51,15,7,5,9,23,85,1,29,54,5,17,12,17
2019-01-05-13-00,醒吾科大,23.8,21.1,42.9,9,25,34,3,6,2,16,15,41,0,10,42,4,19,9,21
2019-01-05-14-45,政治大學,36.6,24.1,66.7,11,31,42,10,13,2,15,17,63,1,15,41,7,29,12,18
2019-01-05-14-45,臺灣科大,38.8,23.8,58.3,12,29,41,18,7,2,19,17,60,0,19,49,5,21,7,12
2019-01-05-14-45,中州科大,32.1,25.6,62.5,17,20,37,13,17,1,12,12,77,0,17,53,11,43,10,16
2019-01-05-14-45,健行科大,67.3,32,71.4,11,42,53,19,9,8,23,17,95,1,33,49,8,25,5,7
2019-01-05-16-30,義守大學,45.1,10,71.4,8,27,35,17,11,3,19,14,62,0,23,51,2,20,10,14
2019-01-05-16-30,臺灣師大,50.9,35.7,71.4,9,32,41,19,11,7,20,15,83,1,29,57,5,14,10,14
2019-01-05-16-30,臺北商大,46.2,26.7,53.6,9,21,30,12,10,1,11,17,75,1,24,52,4,15,15,28
2019-01-05-16-30,文化大學,41.5,19,76.5,23,32,55,10,8,8,22,25,69,0,22,53,4,21,13,17
2019-01-05-18-15,高雄師大,34.8,23.3,30,13,15,28,11,6,1,14,16,56,0,16,46,7,30,3,10
2019-01-05-18-15,輔仁大學,40,47.1,72.7,17,31,48,19,7,4,25,15,76,1,18,45,8,17,16,22
2019-01-05-18-15,屏東大學,27.5,25,30.8,15,36,51,11,5,1,26,15,44,0,11,40,6,24,4,13
2019-01-05-18-15,萬能科大,45.7,13.9,83.3,15,35,50,12,13,2,11,16,67,1,21,46,5,36,10,12
2019-01-06-13-00,臺灣科大,37.3,23.5,69.2,15,34,49,9,10,2,20,19,68,1,19,51,4,17,18,26
2019-01-06-13-00,臺北商大,32.7,26.1,52.6,13,29,42,10,10,6,16,18,60,0,16,49,6,23,10,19
2019-01-06-13-00,文化大學,43.9,27.8,58.3,20,36,56,22,15,9,35,19,87,0,25,57,10,36,7,12
2019-01-06-13-00,政治大學,52.4,30.3,60,17,29,46,23,26,4,24,19,105,1,33,63,10,33,9,15
2019-01-06-14-45,臺灣師大,42.9,33.3,52.4,16,28,44,18,13,3,13,12,86,1,24,56,9,27,11,21
2019-01-06-14-45,高雄師大,36.7,27.8,91.7,10,33,43,14,8,0,24,16,62,0,18,49,5,18,11,12
2019-01-06-14-45,醒吾科大,44.6,23.5,61.9,12,30,42,11,6,3,13,14,75,0,25,56,4,17,13,21
2019-01-06-14-45,屏東大學,43.4,43.8,69.2,10,28,38,17,9,7,16,20,76,1,23,53,7,16,9,13
2019-01-06-16-30,國立體大,51.1,43.3,77.8,11,32,43,22,18,3,15,9,94,1,24,47,13,30,7,9
2019-01-06-16-30,中州科大,30.4,36,50,10,27,37,11,11,1,22,14,57,0,14,46,9,25,2,4
2019-01-06-16-30,健行科大,47.7,39,61.5,13,43,56,21,7,1,11,14,98,1,21,44,16,41,8,13
2019-01-06-16-30,北市大學,37,29.4,72.7,13,33,46,18,8,1,7,14,78,0,20,54,10,34,8,11
2019-01-06-18-15,萬能科大,42.6,34.6,52.9,15,28,43,11,5,2,13,22,76,0,20,47,9,26,9,17
2019-01-06-18-15,臺灣藝大,46.8,23.1,66.7,15,31,46,15,8,2,9,19,85,1,29,62,3,13,18,27
2019-01-06-18-15,輔仁大學,46.2,21.1,90.9,8,34,42,12,10,10,21,15,58,1,18,39,4,19,10,11
2019-01-06-18-15,義守大學,27.9,17.6,81.8,20,22,42,9,11,2,18,13,51,0,12,43,6,34,9,11
2019-02-25-13-00,臺灣師大,34.6,39.3,87.5,18,29,47,19,9,7,11,19,83,1,18,52,11,28,14,16
2019-02-25-13-00,高雄師大,35.8,23.1,65,12,32,44,13,6,5,19,14,60,0,19,53,3,13,13,20
2019-02-25-14-45,國立體大,47.4,23.5,88,12,26,38,5,13,6,24,13,70,1,18,38,4,17,22,25
2019-02-25-14-45,文化大學,35.1,39.1,62.5,3,17,20,13,16,3,19,25,58,0,13,37,9,23,5,8
2019-02-25-16-30,輔仁大學,42.4,35.3,54.2,9,25,34,13,13,5,16,20,77,1,14,33,12,34,13,24
2019-02-25-16-30,政治大學,48.4,33.3,55.6,7,34,41,16,12,4,19,22,73,0,15,31,11,33,10,18
2019-02-25-18-15,健行科大,54.3,27.8,60,15,36,51,11,3,3,19,21,89,1,25,46,10,36,9,15
2019-02-25-18-15,義守大學,42.1,19,68.2,22,28,50,16,17,5,12,14,87,0,24,57,8,42,15,22
2019-02-26-13-00,高雄師大,50,35,72.7,11,25,36,12,11,4,21,13,71,1,21,42,7,20,8,11
2019-02-26-13-00,文化大學,36.6,11.5,81.8,10,20,30,7,16,2,21,20,48,0,15,41,3,26,9,11
2019-02-26-14-45,國立體大,39.4,28.6,67.9,17,19,36,17,15,1,13,17,75,1,13,33,10,35,19,28
2019-02-26-14-45,輔仁大學,30.8,37.5,86.4,13,29,42,8,9,3,23,24,61,0,12,39,6,16,19,22
2019-02-26-16-30,義守大學,47.2,22.7,100,13,19,32,9,9,1,12,12,70,0,25,53,5,22,5,5
2019-02-26-16-30,臺灣師大,56.5,30,61.5,14,27,41,19,7,5,15,16,87,1,35,62,3,10,8,13
2019-02-26-18-15,政治大學,45.8,29.2,37.5,13,18,31,12,8,2,15,14,68,0,22,48,7,24,3,8
2019-02-26-18-15,健行科大,68.3,38.7,100,16,27,43,22,10,2,15,13,104,1,28,41,12,31,12,12
2019-02-27-13-00,輔仁大學,43.9,29,53.8,12,30,42,17,7,7,17,12,70,0,18,41,9,31,7,13
2019-02-27-13-00,高雄師大,44.7,28.6,71.4,11,31,42,13,7,2,16,18,71,1,21,47,8,28,5,7
2019-02-27-14-45,文化大學,28.6,36,72.2,12,24,36,16,4,1,19,18,64,0,12,42,9,25,13,18
2019-02-27-14-45,臺灣師大,51.2,40,53.8,13,28,41,16,5,2,16,21,81,1,22,43,10,25,7,13
2019-02-27-16-30,義守大學,45.5,50,66.7,10,28,38,16,13,7,25,15,79,1,15,33,13,26,10,15
2019-02-27-16-30,政治大學,41.5,38.5,60,11,16,27,17,14,3,15,19,73,0,17,41,10,26,9,15
2019-02-27-18-15,健行科大,41.9,33.3,66.7,12,24,36,13,7,3,15,18,72,0,18,43,10,30,6,9
2019-02-27-18-15,國立體大,54.5,36,69.2,10,30,40,15,9,1,18,16,84,1,24,44,9,25,9,13
2019-02-28-13-00,文化大學,32.4,42.3,53.8,7,18,25,17,12,1,21,14,64,0,12,37,11,26,7,13
2019-02-28-13-00,輔仁大學,43.8,50,88.9,6,30,36,21,13,8,25,13,78,1,14,32,14,28,8,9
2019-02-28-14-45,國立體大,41.5,29.4,69.6,17,20,37,14,17,1,19,20,75,1,22,53,5,17,16,23
2019-02-28-14-45,義守大學,38.7,39.3,66.7,13,23,36,13,10,9,27,23,69,0,12,31,11,28,12,18
2019-02-28-16-30,臺灣師大,38,41.7,75,16,23,39,17,12,3,20,20,83,1,19,50,10,24,15,20
2019-02-28-16-30,政治大學,50,27.6,46.2,17,27,44,16,11,6,24,21,76,0,23,46,8,29,6,13
2019-02-28-18-15,高雄師大,47.1,25,83.3,14,26,40,13,7,3,17,19,74,0,24,51,7,28,5,6
2019-02-28-18-15,健行科大,50,34.5,75,11,29,40,19,14,4,18,12,84,1,21,42,10,29,12,16
2019-03-02-13-00,輔仁大學,38.3,27.8,88.9,13,30,43,14,8,3,15,17,75,1,18,47,5,18,24,27
2019-03-02-13-00,臺灣師大,42.6,16.7,82.4,11,18,29,18,4,6,16,24,69,0,23,54,3,18,14,17
2019-03-02-14-45,政治大學,43.8,50,87.5,8,22,30,14,12,2,24,18,73,0,21,48,8,16,7,8
2019-03-02-14-45,國立體大,52.5,40,66.7,10,22,32,19,12,3,21,14,86,1,21,40,12,30,8,12
2019-03-02-16-30,義守大學,46.7,23.8,64.3,15,33,48,14,7,2,23,17,66,1,21,45,5,21,9,14
2019-03-02-16-30,高雄師大,38.8,26.1,60,12,19,31,14,11,1,13,18,65,0,19,49,6,23,9,15
2019-03-02-18-15,健行科大,65.8,42.9,70,11,30,41,16,4,4,20,10,93,1,25,38,12,28,7,10
2019-03-02-18-15,文化大學,40.9,35.7,70,10,17,27,11,11,2,12,15,73,0,18,44,10,28,7,10
2019-03-03-13-00,臺灣師大,51,36,72.2,13,32,45,23,10,1,12,12,90,1,25,49,9,25,13,18
2019-03-03-13-00,國立體大,48.5,20.7,64.3,8,24,32,10,10,3,21,13,59,0,16,33,6,29,9,14
2019-03-03-14-45,文化大學,48.8,30.8,62.5,6,19,25,19,10,0,15,20,69,0,20,41,8,26,5,8
2019-03-03-14-45,義守大學,50,34.6,88.2,7,29,36,19,6,4,19,9,74,1,16,32,9,26,15,17
2019-03-03-16-30,高雄師大,32.7,39.4,75,15,21,36,22,19,2,21,14,78,0,18,55,13,33,3,4
2019-03-03-16-30,政治大學,50,32.4,81.8,13,34,47,19,13,8,29,11,82,1,20,40,11,34,9,11
2019-03-03-18-15,輔仁大學,29.6,18.5,76.5,5,29,34,9,7,4,18,12,44,0,8,27,5,27,13,17
2019-03-03-18-15,健行科大,42.4,24.2,83.3,10,33,43,12,11,5,13,12,62,1,14,33,8,33,10,12
2019-03-04-13-00,國立體大,61.1,31,100,7,28,35,17,15,5,24,9,81,1,22,36,9,29,10,10
2019-03-04-13-00,高雄師大,41.7,33.3,50,10,19,29,17,13,2,21,10,68,0,20,48,8,24,4,8
2019-03-04-14-45,政治大學,47.3,26.3,42.9,16,29,45,20,10,4,22,17,70,1,26,55,5,19,3,7
2019-03-04-14-45,文化大學,44.7,35,42.9,9,18,27,18,14,5,14,16,69,0,21,47,7,20,6,14
2019-03-04-16-30,義守大學,55.3,22.2,68.4,12,26,38,14,9,4,9,11,73,1,21,38,6,27,13,19
2019-03-04-16-30,輔仁大學,58.3,27.3,66.7,4,25,29,14,5,4,12,14,64,0,21,36,6,22,4,6
2019-03-04-18-15,健行科大,50,44.4,76.5,7,27,34,10,8,5,18,18,81,0,22,44,8,18,13,17
2019-03-04-18-15,臺灣師大,45.1,33.3,66.7,12,20,32,16,11,4,11,15,83,1,23,51,9,27,10,15
2019-03-23-17-00,義守大學,48.7,41.4,80,12,30,42,16,11,4,14,18,90,1,19,39,12,29,16,20
2019-03-23-17-00,臺灣師大,38.6,26.7,41.7,20,19,39,16,10,3,15,18,68,0,17,44,8,30,10,24
2019-03-23-19-00,國立體大,43.1,30,62.5,20,21,41,19,7,1,16,27,101,1,25,58,12,40,15,24
2019-03-23-19-00,健行科大,41.5,33.3,72.7,23,32,55,15,9,1,19,17,98,0,22,53,10,30,24,33
2019-03-24-15-00,臺灣師大,41.2,42.1,75,15,25,40,16,11,3,16,19,78,1,21,51,8,19,12,16
2019-03-24-15-00,國立體大,45.2,34.4,63.6,10,26,36,16,11,2,15,15,75,0,14,31,11,32,14,22
2019-03-24-19-00,義守大學,31.7,24.4,58.3,23,23,46,15,7,0,18,11,63,0,13,41,10,41,7,12
2019-03-24-19-00,健行科大,54.3,37.1,91.7,10,31,41,17,12,7,9,17,88,1,19,35,13,35,11,12
2019-11-25-13-00,健行科大,48.1,37.5,78.9,20,47,67,21,15,2,18,13,110,1,25,52,15,40,15,19
2019-11-25-13-00,宏國德霖,24.5,13.8,70,12,27,39,14,7,4,27,20,43,0,12,49,4,29,7,10
2019-11-25-14-45,國立體大,31,18.9,50,15,28,43,12,12,2,28,18,44,0,9,29,7,37,5,10
2019-11-25-14-45,世新大學,40.8,15.4,64.7,8,27,35,13,23,3,19,15,57,1,20,49,2,13,11,17
2019-11-25-16-30,文化大學,40.4,23.1,70,14,25,39,12,8,3,19,21,58,1,21,52,3,13,7,10
2019-11-25-16-30,臺灣藝大,46.7,20,63.6,11,27,38,9,8,5,19,15,57,0,14,30,5,25,14,22
2019-11-25-18-15,輔仁大學,51,27.3,39.1,14,41,55,16,19,3,16,22,86,1,25,49,9,33,9,23
2019-11-25-18-15,臺北商大,34.1,8.7,40,11,33,44,8,7,4,27,19,44,0,14,41,2,23,10,25
2019-11-26-13-00,文化大學,35.9,31.6,50,9,25,34,7,7,5,23,14,49,0,14,39,6,19,3,6
2019-11-26-13-00,國立體大,41.3,16.7,64.3,12,22,34,11,14,6,13,13,56,1,19,46,3,18,9,14
2019-11-26-14-45,臺灣藝大,45.5,22.9,88.9,11,18,29,13,1,1,14,15,62,0,15,33,8,35,8,9
2019-11-26-14-45,健行科大,63.4,40.6,72.7,11,28,39,19,8,2,6,14,99,1,26,41,13,32,8,11
2019-11-26-16-30,臺北商大,27,19.2,58.3,13,25,38,8,8,0,26,18,42,0,10,37,5,26,7,12
2019-11-26-16-30,世新大學,31.1,43.5,40.9,18,29,47,12,11,6,19,18,67,1,14,45,10,23,9,22
2019-11-26-18-15,輔仁大學,52.7,33.3,57.6,13,32,45,18,19,7,23,18,95,1,29,55,6,18,19,33
2019-11-26-18-15,宏國德霖,37.5,31.8,60,15,22,37,16,15,2,21,29,75,0,21,56,7,22,12,20
2019-11-27-13-00,臺灣藝大,51.4,56.7,66.7,11,29,40,20,8,6,19,19,89,1,18,35,17,30,2,3
2019-11-27-13-00,臺北商大,34.9,28,77.8,9,18,27,9,12,4,12,7,65,0,15,43,7,25,14,18
2019-11-27-14-45,文化大學,40.9,13,35.3,15,23,38,11,10,2,21,25,51,0,18,44,3,23,6,17
2019-11-27-14-45,世新大學,43.4,22.2,56,19,27,46,11,16,7,18,20,72,1,23,53,4,18,14,25
2019-11-27-16-30,國立體大,51,11.1,66.7,17,30,47,18,15,6,23,12,67,1,25,49,3,27,8,12
2019-11-27-16-30,宏國德霖,46.2,23.1,0,7,30,37,11,11,2,31,18,54,0,18,39,6,26,0,3
2019-11-27-18-15,輔仁大學,35.6,40,66.7,7,30,37,16,10,6,20,18,68,0,16,45,8,20,12,18
2019-11-27-18-15,健行科大,40.5,26.2,58.3,19,29,48,14,10,6,21,16,74,1,17,42,11,42,7,12
2019-11-29-13-00,宏國德霖,42,32.1,71.4,12,31,43,17,17,1,28,15,79,1,21,50,9,28,10,14
2019-11-29-13-00,臺北商大,37,30.3,50,17,27,44,14,18,7,27,14,70,0,17,46,10,33,6,12
2019-11-29-14-45,世新大學,40,25,50,14,32,46,14,6,5,17,15,65,0,20,50,7,28,4,8
2019-11-29-14-45,臺灣藝大,42.9,32,62.5,8,36,44,19,9,2,19,14,71,1,21,49,8,25,5,8
2019-11-29-16-30,健行科大,43.6,38.2,60,9,21,30,18,20,5,13,12,85,1,17,39,13,34,12,20
2019-11-29-16-30,文化大學,42,33.3,33.3,18,36,54,12,10,3,32,19,68,0,21,50,8,24,2,6
2019-11-29-18-15,國立體大,54.5,18.8,63.3,5,28,33,9,5,6,19,15,64,0,18,33,3,16,19,30
2019-11-29-18-15,輔仁大學,51.9,33.3,66.7,13,23,36,18,16,4,12,24,92,1,27,52,10,30,8,12
2019-11-30-13-00,宏國德霖,44.2,42.1,48,13,29,42,13,12,2,22,23,74,1,19,43,8,19,12,25
2019-11-30-13-00,臺灣藝大,51.9,26.3,61.9,10,23,33,19,9,4,18,22,71,0,14,27,10,38,13,21
2019-11-30-14-45,臺北商大,44.2,28.6,65.4,9,27,36,9,5,1,18,24,73,0,19,43,6,21,17,26
2019-11-30-14-45,文化大學,40,26.3,70.8,17,28,45,16,14,2,12,24,80,1,24,60,5,19,17,24
2019-11-30-16-30,健行科大,41.5,42.9,66.7,11,22,33,16,9,3,18,14,74,1,17,41,12,28,4,6
2019-11-30-16-30,國立體大,38.2,30,57.1,11,20,31,12,12,4,25,7,52,0,13,34,6,20,8,14
2019-11-30-18-15,世新大學,40,19.4,42.9,20,27,47,8,10,5,19,22,66,0,18,45,6,31,12,28
2019-11-30-18-15,輔仁大學,37.2,35.7,82.6,16,31,47,24,10,5,19,20,81,1,16,43,10,28,19,23
2019-12-01-13-00,健行科大,69.2,43.6,54.5,12,33,45,24,15,2,10,12,111,1,27,39,17,39,6,11
2019-12-01-13-00,臺北商大,33.3,21.2,75,8,19,27,11,7,1,23,9,47,0,10,30,7,33,6,8
2019-12-01-14-45,宏國德霖,44.7,14.8,59.1,14,24,38,16,12,3,24,19,67,0,21,47,4,27,13,22
2019-12-01-14-45,世新大學,52.5,50,66.7,14,33,47,25,18,9,27,21,107,1,21,40,17,34,14,21
2019-12-01-16-30,國立體大,37.8,33.3,50,6,32,38,12,6,4,17,15,52,1,14,37,5,15,9,18
2019-12-01-16-30,臺灣藝大,40.9,8.3,75,3,26,29,8,10,6,9,17,51,0,18,44,1,12,12,16
2019-12-01-18-15,輔仁大學,47.3,27.8,80,14,28,42,14,18,7,19,22,83,1,26,55,5,18,16,20
2019-12-01-18-15,文化大學,33.3,26.3,50,14,23,37,7,8,4,26,12,58,0,16,48,5,19,11,22
2019-12-02-13-00,臺北商大,30,21.2,50,13,28,41,4,10,0,14,11,51,0,12,40,7,33,6,12
2019-12-02-13-00,國立體大,47.1,31.4,80,13,40,53,21,7,5,17,13,73,1,16,34,11,35,8,10
2019-12-02-14-45,文化大學,51.1,16.7,62.5,16,24,40,16,14,4,21,27,73,1,24,47,5,30,10,16
2019-12-02-14-45,宏國德霖,44.7,16.7,64.3,11,26,37,7,10,1,23,20,69,0,21,47,3,18,18,28
2019-12-02-16-30,世新大學,42.2,32.1,75,20,30,50,19,6,4,13,19,87,0,27,64,9,28,6,8
2019-12-02-16-30,健行科大,44.4,34.2,88.2,17,30,47,19,10,1,11,15,94,1,20,45,13,38,15,17
2019-12-02-18-15,臺灣藝大,33.3,12.5,78.6,6,25,31,11,10,2,10,19,50,0,15,45,3,24,11,14
2019-12-02-18-15,輔仁大學,38.1,34.8,85.7,14,34,48,15,8,3,14,15,74,1,16,42,8,23,18,21
2019-12-05-13-00,高雄師大,39.5,30.8,71.4,8,24,32,10,2,5,9,10,59,0,15,38,8,26,5,7
2019-12-05-13-00,中州科大,37.5,37.9,80,17,26,43,19,7,4,6,15,77,1,18,48,11,29,8,10
